student_id,name,email,city,signup_date
1,Esther Al-Farsi,esther1@mail.com,Sydney,2021-02-20
2,Maria Garcia,maria2@mail.com,London,2020-12-15
3,Esther Romero,esther3@mail.com,San Francisco,2020-05-22
4,Aditya Martin,  aditya4@mail.com  ,,2023-09-12
5,Joseph Martinez,joseph5@mail.com,Toronto,2020-09-04
6,Min-jun Garcia,min-jun6@mail.com,Berlin,2020-04-01
7,Linda Sharma,  linda7@mail.com  ,Dubai,2022-04-20
8,Marie Adebayo,marie8@mail.com,Paris,2022-03-16
9,Diya Hassan,diya9@mail.com,,2022-01-31
10,Aarav Ibrahim,aarav10@mail.com,Sydney,2020-02-19
11,Sophie Khan,sophie11@mail.com,San Francisco,2021-05-18
12,Grace Ibrahim,  grace12@mail.com  ,London,2022-05-05
13,Diya Kim,diya13@mail.com,San Francisco,2023-01-25
14,Michael Kamau,michael14@mail.com,,2021-03-07
15,James Williams,james15@mail.com,New York,2023-09-11
16,Paul Li,paul16@mail.com,Mumbai,2024-02-11
17,zainab Park,zainab17@mail.com,Tokyo,2021-03-29
18,Alejandro Schneider,alejandro18@mail.com,Berlin,2023-05-17
19,Valeria Martinez,valeria19@mail.com,New York,2023-07-30
20,Valentina Perez,valentina20@mail.com,London,2020-06-02
21,SEBASTIAN Rodriguez,sebastian21@mail.com,New York,2024-06-13
22,Ahmed Okoro,  ahmed22@mail.com  ,San Francisco,2023-01-07
23,Ananya Johnson,ananya23@mail.com,New York,2022-07-23
24,Youssef Diallo,youssef24@mail.com,Paris,2024-06-22
25,Wei Williams,wei25@mail.com,Dubai,2024-10-15
26,Zainab Hassan,  zainab26@mail.com  ,Toronto,2022-09-20
27,Sebastian Andersson,sebastian27@mail.com,Berlin,2022-12-12
28,Sophie Schneider,  sophie28@mail.com  ,London,2021-08-13
29,James Schmidt,james29@mail.com,Toronto,2021-04-15
30,Sophie Jones,sophie30@mail.com,Mumbai,2022-12-10
31,David Sharma,david31@mail.com,Dubai,2022-04-06
32,Esther Cohen,esther32@mail.com,Sydney,2021-12-15
33,Alejandro Gupta,alejandro33@mail.com,London,2021-05-05
34,Diya Davis,  diya34@mail.com  ,New York,2021-04-27
35,Laura Martinez,laura35@mail.com,Tokyo,2022-03-25
36,Aditya Johnson,aditya36@mail.com,Dubai,2022-08-15
37,Santiago Muller,santiago37@mail.com,Mumbai,2024-05-05
38,Camila Li,camila38@mail.com,,2020-04-05
39,Matias Khan,matias39@mail.com,Berlin,2020-01-04
40,Maryam Nwosu,maryam40@mail.com,Mumbai,2020-06-27
41,Camila Gomez,camila41@mail.com,Toronto,2022-08-30
42,Linda Suzuki,linda42@mail.com,Mumbai,2024-02-10
43,Sofia Smith,sofia43@mail.com,Tokyo,2024-02-24
44,Alexander Sanchez,alexander44@mail.com,Toronto,2020-10-22
45,Grace Mensah,grace45@mail.com,Dubai,2022-02-06
46,Camila Cohen,camila46@mail.com,Sydney,2020-12-19
47,Ahmed Rodriguez,ahmed47@mail.com,San Francisco,2023-11-02
48,Sophie Rodriguez,  sophie48@mail.com  ,Toronto,2020-01-29
49,Arjun Al-Farsi,arjun49@mail.com,Berlin,2023-02-16
50,David Gupta,david50@mail.com,Toronto,2023-06-07
51,John Williams,john51@mail.com,New York,2022-06-19
52,Matias Smith,matias52@mail.com,Tokyo,2021-06-03
53,Laura Romero,laura53@mail.com,,2022-11-28
54,Noor Johnson,noor54@mail.com,Mumbai,2021-12-24
55,Jan Adebayo,jan55@mail.com,San Francisco,2023-06-29
56,Lukas Ozturk,  lukas56@mail.com  ,Dubai,2024-09-03
57,Wei Ozturk,wei57@mail.com,Sydney,2021-02-07
58,Aarav Yilmaz,aarav58@mail.com,San Francisco,2021-06-21
59,Saanvi Khan,  saanvi59@mail.com  ,Berlin,2020-12-11
60,Wei Diaz,wei60@mail.com,Toronto,2023-09-14
61,Alejandro Gomez,alejandro61@mail.com,Dubai,2023-08-16
62,Elizabeth Van der Merwe,elizabeth62@mail.com,Dubai,2022-08-01
63,Sebastian Al-Farsi,sebastian63@mail.com,Berlin,2024-11-19
64,Samuel Diallo,samuel64@mail.com,Dubai,2021-06-20
65,Jennifer Mansour,jennifer65@mail.com,,2024-05-02
66,michael Smith,michael66@mail.com,Berlin,2020-02-04
67,Michael Martin,michael67@mail.com,Mumbai,2022-02-18
68,JOHN Park,john68@mail.com,San Francisco,2022-07-03
69,Laura Martin,laura69@mail.com,Tokyo,2023-12-30
70,Santiago Fernandez,santiago70@mail.com,New York,2022-01-27
71,Elizabeth Adebayo,elizabeth71@mail.com,Toronto,2024-04-11
72,Florence Sharma,florence72@mail.com,Tokyo,2024-05-30
73,Maryam Schneider,maryam73@mail.com,Paris,2023-06-10
74,Diya Sharma,diya74@mail.com,San Francisco,2022-12-03
75,John Fernandez,john75@mail.com,Toronto,2023-01-25
76,Youssef Mensah,  youssef76@mail.com  ,Toronto,2024-05-16
77,Robert Verma,robert77@mail.com,Berlin,2024-07-11
78,Marie Diaz,marie78@mail.com,New York,2023-04-20
